Item,Estimated_Cost,Actual_Cost,Budget
Marketing,9491,8692,50000
Packaging,4621,1386,50000
Logistics,9169,4994,50000
Packaging,7386,8415,50000
Maintenance,5765,4445,50000
Marketing,4983,5773,50000
Raw Materials,4283,7603,50000
Marketing,7716,8285,50000
Transport,6626,6159,50000
Logistics,2668,1049,50000
Labor,4692,6825,50000
Maintenance,2357,8869,50000
Maintenance,3943,7153,50000
Transport,6544,3309,50000
Transport,2819,4382,50000
Transport,5233,6692,50000
Raw Materials,9828,8598,50000
Labor,2203,6449,50000
Raw Materials,5317,3606,50000
Transport,2393,7203,50000
Labor,5255,7898,50000
Packaging,2227,2291,50000
Packaging,1527,6075,50000
Transport,7745,4453,50000
Labor,9127,4283,50000
Logistics,7946,2713,50000
Maintenance,5712,9469,50000
Raw Materials,8279,9890,50000
Utilities,1214,1196,50000
Transport,2941,4297,50000
Transport,5785,2520,50000
Marketing,6652,6390,50000
Utilities,5833,2094,50000
Logistics,8213,1130,50000
Maintenance,2438,7533,50000
Transport,9096,5186,50000
Logistics,4202,1752,50000
Raw Materials,2975,1693,50000
Maintenance,4089,9353,50000
Transport,7555,8865,50000
Raw Materials,5238,2134,50000
Marketing,2563,8822,50000
Marketing,5909,7922,50000
Packaging,4447,4659,50000
Raw Materials,6607,7134,50000
Maintenance,2117,3873,50000
Raw Materials,8168,5514,50000
Utilities,9646,2579,50000
Raw Materials,8993,3971,50000
Marketing,8629,8006,50000
Marketing,4639,4234,50000
Marketing,6776,5565,50000
Utilities,1077,5041,50000
Transport,9838,4279,50000
Packaging,2102,4684,50000
Utilities,8099,6473,50000
Transport,1247,6732,50000
Utilities,4292,4972,50000
Labor,2150,1501,50000
Transport,5999,3642,50000
Maintenance,9605,8870,50000
Maintenance,9867,3282,50000
Packaging,2409,5404,50000
Logistics,8684,2935,50000
Marketing,9524,7622,50000
Utilities,3343,9458,50000
Raw Materials,9632,9000,50000
Marketing,7922,3350,50000
Packaging,9720,6712,50000
Raw Materials,6706,9047,50000
Utilities,8288,8216,50000
Marketing,2817,9246,50000
Marketing,8009,1370,50000
Logistics,3545,4178,50000
Logistics,5248,1673,50000
Maintenance,5439,9975,50000
Raw Materials,5211,1085,50000
Labor,4997,3847,50000
Labor,9295,5293,50000
Marketing,3295,1838,50000
Logistics,6041,1906,50000
Utilities,1363,8561,50000
Marketing,2409,9242,50000
Packaging,5983,5736,50000
Maintenance,2226,8753,50000
Logistics,4445,2210,50000
Packaging,7119,3786,50000
Raw Materials,1964,1844,50000
Packaging,2813,7889,50000
Logistics,2284,4917,50000
Marketing,7661,8211,50000
Packaging,6391,8671,50000
Utilities,3807,9229,50000
Labor,9599,5205,50000
Raw Materials,9205,8576,50000
Marketing,1535,2494,50000
Raw Materials,1253,5935,50000
Logistics,3891,6867,50000
Maintenance,8078,9441,50000
Packaging,6878,6123,50000
Labor,5584,3519,50000
Utilities,4183,8144,50000
Raw Materials,8469,8677,50000
Labor,1104,1831,50000
Packaging,1227,5493,50000
Marketing,8592,3389,50000
Logistics,7631,6954,50000
Utilities,3029,5831,50000
Utilities,1452,9543,50000
Transport,2210,5694,50000
Raw Materials,2954,5164,50000
Logistics,8490,3824,50000
Labor,4410,2592,50000
Raw Materials,9274,1592,50000
Marketing,1832,7738,50000
Marketing,1146,7197,50000
Logistics,3382,2934,50000
Packaging,7936,7529,50000
Utilities,3726,7383,50000
Logistics,3270,6983,50000
Utilities,5701,6990,50000
Labor,5955,9496,50000
Maintenance,9873,7233,50000
Raw Materials,1397,3541,50000
Raw Materials,2466,6353,50000
Marketing,1440,7361,50000
Raw Materials,8894,4019,50000
Labor,6086,7128,50000
Transport,5685,3390,50000
Logistics,1991,4980,50000
Utilities,8614,7820,50000
Marketing,8024,7183,50000
Logistics,9499,2896,50000
Utilities,3696,6586,50000
Utilities,1143,1629,50000
Utilities,9521,7381,50000
Transport,1783,5312,50000
Logistics,4232,7868,50000
Raw Materials,7450,9133,50000
Maintenance,3874,5208,50000
Utilities,3051,6911,50000
Labor,4563,4227,50000
Utilities,5600,9905,50000
Utilities,1185,9311,50000
Logistics,8013,6264,50000
Raw Materials,9033,3003,50000
Packaging,4865,5115,50000
Labor,3787,4443,50000
Raw Materials,4055,5633,50000
Utilities,2965,1028,50000
Logistics,7329,9823,50000
Packaging,4466,9175,50000
Raw Materials,4732,8701,50000
Raw Materials,4075,8647,50000
Marketing,4396,5636,50000
Transport,8365,1124,50000
Packaging,9981,9303,50000
Maintenance,3925,6078,50000
Packaging,4430,3872,50000
Transport,8173,1609,50000
Transport,2997,3898,50000
Labor,6781,3175,50000
Marketing,7927,3303,50000
Marketing,3015,5496,50000
Raw Materials,7307,1887,50000
Transport,3737,2105,50000
Packaging,8737,7596,50000
Maintenance,1710,3777,50000
Labor,5694,2137,50000
Packaging,2202,2740,50000
Marketing,4049,4366,50000
Raw Materials,8554,3431,50000
Maintenance,9244,4475,50000
Transport,2310,9572,50000
Logistics,2406,5384,50000
Logistics,5085,8605,50000
Packaging,5674,9320,50000
Maintenance,6456,4322,50000
Logistics,6302,1788,50000
Marketing,4521,8964,50000
Logistics,2308,6907,50000
Labor,6282,4140,50000
Packaging,7115,6146,50000
Logistics,3353,4562,50000
Transport,2564,1501,50000
Labor,1408,6739,50000
Utilities,2098,7948,50000
Logistics,6432,3836,50000
Logistics,1111,1513,50000
Maintenance,2271,1462,50000
Logistics,6938,7794,50000
Logistics,3883,7442,50000
Maintenance,8035,2366,50000
Raw Materials,7901,4207,50000
Transport,2675,7206,50000
Maintenance,7623,7074,50000
Marketing,1324,7937,50000
Utilities,5073,9684,50000
Marketing,4826,4415,50000
Labor,7628,6416,50000
Utilities,2432,1541,50000
Logistics,6955,8505,50000
Utilities,6527,8320,50000
Marketing,8943,1699,50000
Logistics,4784,9586,50000
Maintenance,5379,4699,50000
Marketing,7581,7063,50000
Transport,7013,1690,50000
Labor,1871,9173,50000
Packaging,9235,4912,50000
Utilities,7519,9075,50000
Logistics,8321,1245,50000
Transport,5702,4182,50000
Maintenance,1001,3345,50000
Maintenance,7891,3135,50000
Marketing,5493,8890,50000
Raw Materials,1596,9366,50000
Utilities,8035,8793,50000
Utilities,7517,5364,50000
Raw Materials,2789,2705,50000
Maintenance,4804,5246,50000
Maintenance,8212,5885,50000
Packaging,5066,4259,50000
Packaging,5910,3756,50000
Utilities,6651,7026,50000
Packaging,3171,7567,50000
Packaging,5668,4717,50000
Logistics,8423,5767,50000
Labor,6835,2959,50000
Utilities,9708,8187,50000
Maintenance,1313,9465,50000
Logistics,2360,4041,50000
Maintenance,3124,3897,50000
Packaging,1827,2281,50000
Labor,2676,1012,50000
Packaging,5391,9955,50000
Packaging,4778,9564,50000
Transport,2460,9665,50000
Transport,3754,3367,50000
Labor,6770,2931,50000
Labor,9969,9587,50000
Transport,2563,1395,50000
Transport,6238,1619,50000
Transport,9586,1407,50000
Transport,2272,1558,50000
Utilities,6126,6082,50000
Utilities,6532,9743,50000
Packaging,6056,6804,50000
Marketing,9846,3626,50000
Packaging,2475,2138,50000
Labor,7018,4038,50000
Raw Materials,8187,7253,50000
Marketing,2915,9312,50000
Raw Materials,9194,8861,50000
Raw Materials,1412,5641,50000
Maintenance,5115,7715,50000
Logistics,5091,4321,50000
Labor,5540,7761,50000
Utilities,2369,5089,50000
Marketing,7820,9999,50000
Packaging,4411,1587,50000
Labor,6170,8609,50000
Transport,9544,5275,50000
Labor,9669,2661,50000
Raw Materials,3291,6133,50000
Utilities,6676,1988,50000
Transport,5822,1673,50000
Labor,8582,9227,50000
Labor,8190,6750,50000
Utilities,3100,3122,50000
Raw Materials,6161,9810,50000
Packaging,5948,5020,50000
Transport,2350,6308,50000
Raw Materials,1372,6273,50000
Utilities,7698,2366,50000
Labor,2489,7663,50000
Packaging,5997,4734,50000
Marketing,3867,6342,50000
Marketing,4565,3962,50000
Maintenance,2022,5629,50000
Logistics,6223,4240,50000
Marketing,6644,9624,50000
Utilities,3379,9282,50000
Logistics,8466,6406,50000
Utilities,8023,4344,50000
Utilities,6763,2377,50000
Transport,6211,6331,50000
Maintenance,1489,2081,50000
Transport,3591,8554,50000
Packaging,4980,5600,50000
Logistics,1035,4939,50000
Marketing,2305,5605,50000
Packaging,8372,6907,50000
Logistics,8829,4313,50000
Logistics,3698,8509,50000
Marketing,3840,3486,50000
Labor,7990,8679,50000
Transport,9364,4657,50000
Raw Materials,4489,8767,50000
Packaging,7431,3099,50000
Labor,4173,4039,50000
Transport,1664,3620,50000
Logistics,3498,8286,50000
Utilities,1120,9792,50000
Maintenance,2080,6134,50000
Packaging,3286,3740,50000
Transport,2436,8147,50000
Maintenance,9212,5989,50000
Packaging,4604,1497,50000
Maintenance,8110,2261,50000
Packaging,8465,3020,50000
Marketing,7154,2643,50000
Raw Materials,4641,1249,50000
Packaging,7497,4772,50000
Logistics,4823,1936,50000
Transport,2944,8636,50000
Raw Materials,2217,9338,50000
Maintenance,8019,5584,50000
Marketing,2009,2130,50000
Packaging,7445,2132,50000
Raw Materials,6141,9592,50000
Labor,9015,2669,50000
Maintenance,3694,3741,50000
Labor,7129,1427,50000
Utilities,9208,3106,50000
Raw Materials,4842,5592,50000
Raw Materials,3443,5897,50000
Raw Materials,4147,7542,50000
Utilities,9394,1210,50000
Logistics,9424,8425,50000
Transport,9978,2043,50000
Maintenance,2772,9364,50000
Maintenance,1095,7333,50000
Packaging,9465,9800,50000
Packaging,8939,8760,50000
Packaging,4989,4815,50000
Maintenance,8877,1104,50000
Transport,2943,4595,50000
Logistics,3092,4125,50000
Raw Materials,6498,3068,50000
Raw Materials,2884,2005,50000
Utilities,6001,3747,50000
Labor,5525,4042,50000
Transport,9867,1278,50000
Marketing,2633,6732,50000
Transport,2266,9304,50000
Utilities,1136,2656,50000
Logistics,6177,7161,50000
Labor,2941,2748,50000
Labor,7924,5217,50000
Packaging,9360,6608,50000
Packaging,9653,3781,50000
Labor,5505,1738,50000
Raw Materials,9055,2332,50000
Marketing,8551,6288,50000
Labor,9747,6141,50000
Maintenance,7616,8842,50000
Raw Materials,9789,1229,50000
Logistics,7732,1588,50000
Logistics,2265,9527,50000
Marketing,5004,6708,50000
Maintenance,2531,7728,50000
Marketing,4760,1402,50000
Utilities,6818,4402,50000
Marketing,1243,3346,50000
Maintenance,3268,6279,50000
Transport,8302,6382,50000
Marketing,1034,8446,50000
Transport,8429,1334,50000
Marketing,6453,7734,50000
Utilities,6229,9184,50000
Maintenance,2418,4784,50000
Marketing,1008,1986,50000
Labor,6001,3803,50000
Utilities,4253,3837,50000
Labor,4114,7549,50000
Logistics,4703,7547,50000
Logistics,1112,9340,50000
Utilities,2342,8693,50000
Utilities,2456,4540,50000
Packaging,1765,1160,50000
Marketing,5326,9269,50000
Maintenance,8134,4468,50000
Packaging,8102,1762,50000
Maintenance,1679,9404,50000
Raw Materials,8099,6262,50000
Maintenance,7022,7346,50000
Transport,8933,1892,50000
Marketing,6036,2291,50000
Labor,3094,5127,50000
Maintenance,8309,7935,50000
Labor,3478,2270,50000
Raw Materials,3140,3145,50000
Marketing,4501,3135,50000
Maintenance,9350,2467,50000
Packaging,6683,1123,50000
Labor,5213,3326,50000
Packaging,8725,7099,50000
Utilities,5252,6804,50000
Packaging,4504,6568,50000
Maintenance,8360,4559,50000
Raw Materials,1256,3860,50000
Packaging,2859,3596,50000
Utilities,3046,4189,50000
Labor,3746,9106,50000
Labor,8399,6391,50000
Marketing,3813,9970,50000
Packaging,9612,5760,50000
Packaging,5473,7416,50000
Marketing,4763,1595,50000
Labor,8925,8583,50000
Utilities,3689,4598,50000
Logistics,2044,3167,50000
Packaging,5892,8433,50000
Logistics,9168,9837,50000
Marketing,8839,1130,50000
Logistics,6800,8978,50000
Labor,9981,6447,50000
Utilities,9675,4451,50000
Transport,7968,4370,50000
Maintenance,2204,8945,50000
Packaging,9143,3464,50000
Transport,5848,7063,50000
Transport,8696,3842,50000
Maintenance,9754,9155,50000
Labor,8046,4518,50000
Logistics,5028,1866,50000
Labor,4043,4894,50000
Marketing,2851,2033,50000
Raw Materials,2356,6267,50000
Labor,8912,6171,50000
Logistics,5026,9081,50000
Maintenance,2043,5169,50000
Raw Materials,6035,5655,50000
Maintenance,1687,1069,50000
Maintenance,6449,1519,50000
Maintenance,9395,7103,50000
Packaging,6303,5803,50000
Packaging,4117,6849,50000
Raw Materials,5536,2909,50000
Transport,3601,9352,50000
Logistics,3055,4003,50000
Packaging,1013,8490,50000
Utilities,1793,1884,50000
Maintenance,3149,5319,50000
Logistics,6148,1128,50000
Packaging,7846,7776,50000
Marketing,2804,8697,50000
Labor,6077,8674,50000
Utilities,3028,7917,50000
Logistics,5538,4230,50000
Labor,1759,6179,50000
Labor,4860,2712,50000
Raw Materials,8518,7535,50000
Marketing,2641,7283,50000
Marketing,8191,4726,50000
Utilities,2812,4465,50000
Marketing,2816,5198,50000
Marketing,2825,9651,50000
Logistics,4185,8334,50000
Marketing,1561,3823,50000
Utilities,1237,8760,50000
Transport,6978,8008,50000
Marketing,6833,1134,50000
Packaging,8467,1351,50000
Logistics,3207,7492,50000
Logistics,6557,6533,50000
Marketing,6003,1293,50000
Raw Materials,3649,6969,50000
Raw Materials,6314,9221,50000
Packaging,5713,8636,50000
Marketing,6578,6349,50000
Transport,9262,2821,50000
Logistics,8065,6680,50000
Marketing,6615,1946,50000
Packaging,7175,9238,50000
Marketing,8845,9396,50000
Marketing,2235,3117,50000
Maintenance,5942,2494,50000
Transport,1462,5864,50000
Labor,7390,1374,50000
Packaging,4800,8478,50000
Marketing,6829,1901,50000
Packaging,7476,1958,50000
Labor,6194,5919,50000
Transport,3840,5071,50000
Logistics,1051,7752,50000
Packaging,8179,1175,50000
Marketing,6768,2940,50000
Logistics,4168,7476,50000
Labor,8079,6584,50000
Packaging,6207,8390,50000
Utilities,6172,9271,50000
Labor,5960,2455,50000
Transport,4232,2836,50000
Marketing,4356,3476,50000
Maintenance,5005,7544,50000
Transport,8983,8977,50000
Logistics,1972,3495,50000
Maintenance,1317,9670,50000
Marketing,1766,4190,50000
Labor,3478,5275,50000
Utilities,4898,5453,50000
Utilities,3433,9303,50000
Packaging,6720,8147,50000
Logistics,2017,2394,50000
Transport,7680,7578,50000
Transport,3161,5680,50000
Logistics,7019,4377,50000
Transport,8111,7498,50000
Raw Materials,4041,3357,50000
Utilities,5353,9639,50000
Utilities,7098,8839,50000
Marketing,5955,9697,50000
Raw Materials,2704,9328,50000
Transport,1261,8806,50000
Transport,7683,5893,50000
Logistics,2159,2840,50000
Maintenance,2664,2072,50000
Packaging,3002,1061,50000
Raw Materials,8441,5881,50000
Packaging,3269,2637,50000
Labor,6455,5662,50000
Packaging,2763,9018,50000
Utilities,1414,5724,50000
Marketing,8570,5052,50000
Labor,9818,5016,50000
Labor,7528,1637,50000
Logistics,5034,4519,50000
Marketing,7087,3702,50000
Transport,1652,4339,50000
Utilities,1512,4036,50000
Logistics,3444,1984,50000
Maintenance,3909,3290,50000
Transport,9694,3451,50000
Packaging,9231,6153,50000
Transport,1221,8030,50000
Raw Materials,8094,8388,50000
Logistics,9161,1091,50000
Labor,2027,3450,50000
Labor,7063,9401,50000
Utilities,8022,3224,50000
Packaging,6103,2820,50000
Logistics,2041,6403,50000
Labor,6461,2447,50000
Logistics,2906,5269,50000
Maintenance,8090,8748,50000
Maintenance,4445,8848,50000
Packaging,8981,1728,50000
Logistics,8873,8635,50000
Maintenance,7972,3075,50000
Marketing,1897,8448,50000
Packaging,4490,6945,50000
Utilities,4909,1219,50000
Maintenance,8619,8029,50000
Logistics,1576,2100,50000
Raw Materials,7190,3269,50000
Raw Materials,6337,5198,50000
Transport,2244,5559,50000
Transport,4082,2494,50000
Utilities,1189,4465,50000
Packaging,8043,8205,50000
Transport,7049,5569,50000
Transport,7750,9593,50000
Raw Materials,7473,8770,50000
Transport,8348,8557,50000
Logistics,5630,5688,50000
Raw Materials,2072,7173,50000
Maintenance,9924,3162,50000
Maintenance,4694,8290,50000
Utilities,5240,2551,50000
Marketing,6418,7578,50000
Transport,2632,8237,50000
Maintenance,2338,6311,50000
Maintenance,1725,1991,50000
Packaging,3585,8094,50000
Utilities,5439,2715,50000
Logistics,6049,9464,50000
Labor,8196,3562,50000
Labor,6234,6473,50000
Utilities,2289,2015,50000
Raw Materials,1481,4331,50000
Marketing,6229,7426,50000
Packaging,9596,8181,50000
Packaging,4701,8223,50000
Utilities,6754,3069,50000
Logistics,5006,4607,50000
Labor,9908,8068,50000
Marketing,2857,2736,50000
Maintenance,3810,5133,50000
Utilities,6253,7233,50000
Raw Materials,7656,1600,50000
Marketing,9475,5735,50000
Labor,9074,2459,50000
Maintenance,7054,8045,50000
Utilities,1123,7715,50000
Packaging,8364,5334,50000
Transport,4473,4063,50000
Packaging,6978,4731,50000
Logistics,3361,4681,50000
Logistics,9801,3098,50000
Packaging,1125,8871,50000
Maintenance,9923,5820,50000
Labor,8528,8989,50000
Utilities,3330,9554,50000
Labor,2621,5601,50000
Transport,9523,7647,50000
Logistics,8101,3822,50000
Packaging,9960,4551,50000
Maintenance,7788,9799,50000
Marketing,8087,2400,50000
Marketing,6190,8895,50000
Maintenance,3329,1551,50000
Logistics,7448,9388,50000
Marketing,2861,4611,50000
Packaging,2852,4152,50000
Logistics,1258,3855,50000
Utilities,8334,7237,50000
Maintenance,4661,8869,50000
Maintenance,7832,1826,50000
Labor,1531,1305,50000
Raw Materials,2465,4939,50000
Labor,1427,1393,50000
Marketing,1136,7291,50000
Raw Materials,7846,7557,50000
Maintenance,8429,1735,50000
Marketing,4685,7714,50000
Logistics,7148,2534,50000
Transport,8308,7189,50000
Marketing,2399,7022,50000
Raw Materials,4726,6695,50000
Raw Materials,4820,8697,50000
Maintenance,3559,7753,50000
Utilities,5279,6707,50000
Transport,2224,2038,50000
Maintenance,9537,6138,50000
Transport,2053,2703,50000
Transport,9661,1649,50000
Maintenance,3968,6831,50000
Packaging,7467,2683,50000
Marketing,7427,8876,50000
Logistics,5168,7144,50000
Labor,6246,6240,50000
Transport,3269,9298,50000
Logistics,9522,4161,50000
Packaging,7440,9043,50000
Raw Materials,1580,7815,50000
Maintenance,2494,8178,50000
Utilities,9146,6724,50000
Packaging,1903,8029,50000
Marketing,7714,1485,50000
Logistics,2904,4420,50000
Packaging,3851,4965,50000
Transport,9886,8026,50000
Utilities,6964,7259,50000
Packaging,9360,1742,50000
Marketing,1570,1605,50000
Logistics,5165,8351,50000
Packaging,8667,1422,50000
Maintenance,5964,2969,50000
Utilities,9144,9683,50000
Raw Materials,3659,1111,50000
Transport,5191,1034,50000
Logistics,1789,6431,50000
Transport,5448,7055,50000
Utilities,4605,4392,50000
Marketing,5689,1372,50000
Maintenance,1396,9127,50000
Packaging,2489,4597,50000
Logistics,9162,3569,50000
Packaging,9081,9521,50000
Labor,8241,1768,50000
Transport,8583,4022,50000
Packaging,5602,1398,50000
Raw Materials,6021,3885,50000
Transport,9338,2261,50000
Transport,1687,2563,50000
Labor,7239,3153,50000
Labor,6449,4358,50000
Maintenance,7054,7416,50000
Packaging,1682,3272,50000
Packaging,6522,3004,50000
Transport,9522,4419,50000
Transport,4053,3768,50000
Marketing,4941,3061,50000
Marketing,9149,6583,50000
Packaging,5922,4842,50000
Logistics,7893,2220,50000
Utilities,7237,9030,50000
Utilities,7493,3550,50000
Raw Materials,2262,3371,50000
Packaging,7065,7774,50000
Packaging,1202,8927,50000
Packaging,5309,3633,50000
Raw Materials,2289,8169,50000
Marketing,9298,7653,50000
Utilities,7517,1078,50000
Packaging,8483,2155,50000
Raw Materials,8202,6737,50000
Transport,7702,8563,50000
Logistics,6230,9776,50000
Utilities,2268,4203,50000
Labor,2297,3590,50000
Utilities,8193,1311,50000
Transport,1315,8622,50000
Marketing,9744,9253,50000
Maintenance,3769,8889,50000
Maintenance,3001,1101,50000
Marketing,8834,6853,50000
Logistics,6808,4917,50000
Transport,8479,8523,50000
Raw Materials,7568,4571,50000
Utilities,4966,1267,50000
Utilities,5450,7575,50000
Raw Materials,1598,4373,50000
Maintenance,1311,5733,50000
Packaging,3621,4402,50000
Packaging,5707,2560,50000
Marketing,4957,8643,50000
Packaging,2179,6315,50000
Marketing,8204,1921,50000
Packaging,9979,5209,50000
Labor,5642,3611,50000
Maintenance,1353,7201,50000
Logistics,5114,1440,50000
Marketing,6127,2226,50000
Labor,4503,2142,50000
Raw Materials,1783,5854,50000
Maintenance,6492,5040,50000
Maintenance,6772,9943,50000
Marketing,6238,5966,50000
Marketing,3504,9813,50000
Transport,1925,2611,50000
Packaging,6566,1267,50000
Raw Materials,2743,3811,50000
Raw Materials,6919,6112,50000
Utilities,7990,2190,50000
Labor,1266,2311,50000
Logistics,4087,2732,50000
Labor,7621,1617,50000
Transport,6560,4999,50000
Utilities,4041,3519,50000
Raw Materials,2886,1178,50000
Packaging,6295,5186,50000
Packaging,2657,4249,50000
Logistics,1552,6548,50000
Packaging,3552,2183,50000
Packaging,6458,9684,50000
Labor,5668,1099,50000
Raw Materials,8644,7929,50000
Packaging,7757,6705,50000
Raw Materials,3100,5539,50000
Utilities,7243,5839,50000
Labor,4548,3849,50000
Marketing,4420,3035,50000
Marketing,5354,5773,50000
Utilities,2389,4472,50000
Labor,9132,8216,50000
Logistics,7463,2654,50000
Transport,7282,8110,50000
Maintenance,5044,4186,50000
Utilities,8104,4845,50000
Raw Materials,1807,1233,50000
Utilities,9809,9631,50000
Maintenance,1910,2863,50000
Logistics,3146,2145,50000
Utilities,4485,1502,50000
Labor,1020,8156,50000
Raw Materials,2759,5725,50000
Maintenance,6814,6200,50000
Packaging,1702,3354,50000
Marketing,9072,6987,50000
Transport,3355,9591,50000
Utilities,7601,3928,50000
Utilities,5852,7439,50000
Maintenance,5616,3886,50000
Transport,8648,9088,50000
Utilities,7778,9250,50000
Logistics,4183,5863,50000
Marketing,9915,6969,50000
Maintenance,7099,2258,50000
Labor,2282,4412,50000
Raw Materials,8053,2918,50000
Marketing,7471,6686,50000
Transport,7259,5631,50000
Transport,8405,4709,50000
Marketing,2710,8849,50000
Packaging,4728,9932,50000
Labor,7695,6653,50000
Utilities,2081,2561,50000
Labor,7531,1771,50000
Utilities,2878,8029,50000
Utilities,9504,4774,50000
Transport,9024,1762,50000
Utilities,7295,2424,50000
Marketing,7050,3578,50000
Packaging,4917,4827,50000
Utilities,4731,7222,50000
Marketing,1051,4649,50000
Raw Materials,2782,6430,50000
Transport,2293,4706,50000
Logistics,1934,2277,50000
Labor,7393,7380,50000
Maintenance,5691,6623,50000
Labor,1498,1214,50000
Labor,8270,3935,50000
Packaging,1469,9320,50000
Logistics,5834,5112,50000
Maintenance,2672,6639,50000
Packaging,4634,3104,50000
Logistics,6156,2329,50000
Transport,7280,5073,50000
Utilities,1463,6430,50000
Raw Materials,9127,7681,50000
Labor,8508,1800,50000
Packaging,1328,5701,50000
Utilities,4866,4484,50000
Labor,2009,6798,50000
Transport,9520,9276,50000
Transport,9666,4749,50000
Marketing,9987,8054,50000
Transport,9226,3374,50000
Logistics,1165,9135,50000
Transport,4679,6032,50000
Labor,8816,4708,50000
Raw Materials,9578,1044,50000
Packaging,7706,1640,50000
Labor,3636,8072,50000
Packaging,7369,4962,50000
Utilities,4037,2213,50000
Packaging,6088,3884,50000
Transport,2698,5209,50000
Marketing,3063,4381,50000
Raw Materials,2191,9107,50000
Marketing,5932,9526,50000
Maintenance,8175,9790,50000
Marketing,8605,7452,50000
Logistics,6792,6520,50000
Marketing,6554,7877,50000
Utilities,4457,8971,50000
Transport,7675,3881,50000
Logistics,9512,3817,50000
Utilities,7031,1352,50000
Transport,7888,3164,50000
Logistics,5970,6060,50000
Utilities,2740,1569,50000
Transport,2114,2214,50000
Logistics,2464,2702,50000
Logistics,6753,8377,50000
Logistics,6537,4131,50000
Packaging,5794,9180,50000
Transport,4663,9520,50000
Logistics,7811,8753,50000
Transport,9106,2470,50000
Marketing,2442,9703,50000
Maintenance,4470,5646,50000
Transport,8066,8703,50000
Maintenance,4710,6633,50000
Maintenance,5978,2679,50000
Labor,2429,4767,50000
Labor,5968,3919,50000
Raw Materials,5886,6614,50000
Packaging,1908,1326,50000
Logistics,6691,6457,50000
Logistics,1630,9891,50000
Logistics,8159,7244,50000
Utilities,9142,9255,50000
Labor,2291,8294,50000
Transport,9240,9289,50000
Maintenance,8909,7467,50000
Utilities,2755,9398,50000
Logistics,3229,5556,50000
Raw Materials,3167,8765,50000
Logistics,2811,5849,50000
Labor,7914,2459,50000
Marketing,1769,2596,50000
Packaging,2499,2283,50000
Utilities,1277,6790,50000
Raw Materials,9994,1781,50000
Transport,4308,8960,50000
Utilities,9845,5720,50000
Maintenance,9435,2307,50000
Transport,9122,7542,50000
Transport,8203,3671,50000
Utilities,6065,3498,50000
Logistics,2952,4848,50000
Marketing,2156,3625,50000
Marketing,5055,6423,50000
Logistics,8441,1160,50000
Utilities,3065,1411,50000
Logistics,4923,5487,50000
Utilities,4942,9611,50000
Utilities,2383,1385,50000
Packaging,2875,6911,50000
Packaging,2795,8620,50000
Maintenance,1021,6044,50000
Labor,7360,2108,50000
Transport,7996,3768,50000
Utilities,7637,9377,50000
Packaging,9392,1034,50000
Labor,4770,1246,50000
Maintenance,3310,9089,50000
Transport,3113,7445,50000
Labor,5864,9951,50000
Transport,6748,2921,50000
Logistics,5958,5101,50000
Marketing,8202,2816,50000
Utilities,4366,2872,50000
Logistics,9723,3562,50000
Marketing,2376,9324,50000
Raw Materials,5310,7559,50000
Maintenance,4124,6423,50000
Utilities,2163,1732,50000
Logistics,2671,9611,50000
Labor,1447,1892,50000
Transport,6770,6047,50000
Packaging,1025,4483,50000
Raw Materials,2573,1891,50000
Maintenance,7788,9691,50000
Maintenance,1196,2358,50000
Maintenance,5207,4387,50000
Labor,2678,3122,50000
Logistics,6994,4845,50000
Utilities,6590,1055,50000
Marketing,4218,5250,50000
Raw Materials,8248,1681,50000
Logistics,3001,9157,50000
Labor,1022,4808,50000
Transport,9147,2042,50000
Labor,3328,2012,50000
Transport,7303,8020,50000
Transport,7427,1140,50000
Maintenance,3138,6699,50000
Labor,6747,4800,50000
Marketing,1492,7158,50000
Transport,5579,5235,50000
Packaging,5235,3580,50000
Maintenance,6995,9017,50000
Marketing,8506,3853,50000
Logistics,6529,8883,50000
Logistics,2636,6168,50000
Logistics,1938,1028,50000
Labor,7577,7394,50000
Marketing,5120,2511,50000
Labor,7002,8707,50000
Transport,2491,3198,50000
Logistics,6326,5660,50000
Raw Materials,9359,2005,50000
Raw Materials,2366,2979,50000
Logistics,8234,4623,50000
Utilities,4774,1864,50000
Utilities,9331,1067,50000
Transport,9697,1286,50000
Marketing,1837,1397,50000
Labor,1939,7628,50000
Logistics,5308,2651,50000
Raw Materials,7488,2902,50000
Logistics,1558,1925,50000
Labor,7084,6715,50000
Transport,9598,3523,50000
Marketing,5182,1874,50000
Packaging,4106,4258,50000
Labor,9912,9089,50000
Logistics,5261,3228,50000
Marketing,8347,1145,50000
Packaging,4585,8781,50000
Raw Materials,6010,4095,50000
Labor,1878,6393,50000
Maintenance,3494,7894,50000
Raw Materials,8874,3137,50000
Marketing,8520,2951,50000
Transport,9221,2747,50000
Maintenance,1678,4162,50000
Utilities,9415,8239,50000
Labor,8624,5902,50000
Logistics,5156,6669,50000
Utilities,7319,6062,50000
Raw Materials,6726,5040,50000
Logistics,7284,8841,50000
Labor,5181,4311,50000
Labor,4559,2565,50000
Maintenance,4466,2401,50000
Maintenance,2447,8268,50000
Maintenance,8275,8117,50000
Maintenance,9773,6128,50000
Transport,2949,1152,50000
Logistics,5509,6624,50000
Logistics,1205,5090,50000
Marketing,1774,7623,50000
Maintenance,1478,3546,50000
Raw Materials,9416,3676,50000
Logistics,4960,7993,50000
